#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994379E-05   0.203648E+08   0.203648E+08   0.271389E+08   0.271384E+08   0.000000E+00   0.203648E+08   0.203648E+08   0.203744E+08  -0.458066E+00   0.993758E+07   0.993758E+07   0.639153E+01
   0.109847E-04   0.203648E+08   0.203648E+08   0.271357E+08   0.271352E+08   0.000000E+00   0.203648E+08   0.203648E+08   0.203744E+08  -0.458065E+00   0.993758E+07   0.993758E+07   0.706036E+01
   0.121346E-04   0.203648E+08   0.203648E+08   0.271319E+08   0.271313E+08   0.000000E+00   0.203648E+08   0.203648E+08   0.203744E+08  -0.458065E+00   0.993757E+07   0.993757E+07   0.779914E+01
   0.134048E-04   0.203648E+08   0.203648E+08   0.271272E+08   0.271264E+08   0.000000E+00   0.203648E+08   0.203648E+08   0.203743E+08  -0.458065E+00   0.993757E+07   0.993757E+07   0.861515E+01
   0.148080E-04   0.203648E+08   0.203648E+08   0.271215E+08   0.271206E+08   0.000000E+00   0.203648E+08   0.203648E+08   0.203743E+08  -0.458064E+00   0.993756E+07   0.993756E+07   0.951644E+01
   0.163580E-04   0.203647E+08   0.203647E+08   0.271145E+08   0.271134E+08   0.000000E+00   0.203647E+08   0.203647E+08   0.203743E+08  -0.458064E+00   0.993755E+07   0.993755E+07   0.105119E+02
   0.180704E-04   0.203647E+08   0.203647E+08   0.271061E+08   0.271047E+08   0.000000E+00   0.203647E+08   0.203647E+08   0.203743E+08  -0.458063E+00   0.993754E+07   0.993754E+07   0.116113E+02
   0.199619E-04   0.203647E+08   0.203647E+08   0.270957E+08   0.270940E+08   0.000000E+00   0.203647E+08   0.203647E+08   0.203743E+08  -0.458063E+00   0.993753E+07   0.993753E+07   0.128255E+02
   0.220515E-04   0.203647E+08   0.203647E+08   0.270831E+08   0.270810E+08   0.000000E+00   0.203647E+08   0.203647E+08   0.203742E+08  -0.458062E+00   0.993752E+07   0.993751E+07   0.141663E+02
   0.243598E-04   0.203646E+08   0.203646E+08   0.270677E+08   0.270651E+08   0.000000E+00   0.203646E+08   0.203646E+08   0.203742E+08  -0.458061E+00   0.993750E+07   0.993750E+07   0.156468E+02
   0.269098E-04   0.203646E+08   0.203646E+08   0.270489E+08   0.270458E+08   0.000000E+00   0.203646E+08   0.203646E+08   0.203741E+08  -0.458060E+00   0.993748E+07   0.993747E+07   0.172815E+02
   0.297266E-04   0.203645E+08   0.203645E+08   0.270259E+08   0.270221E+08   0.000000E+00   0.203645E+08   0.203645E+08   0.203741E+08  -0.458058E+00   0.993745E+07   0.993745E+07   0.190862E+02
   0.328384E-04   0.203645E+08   0.203645E+08   0.269980E+08   0.269934E+08   0.000000E+00   0.203645E+08   0.203645E+08   0.203740E+08  -0.458056E+00   0.993742E+07   0.993742E+07   0.210784E+02
   0.362758E-04   0.203644E+08   0.203644E+08   0.269639E+08   0.269583E+08   0.000000E+00   0.203644E+08   0.203644E+08   0.203739E+08  -0.458054E+00   0.993738E+07   0.993738E+07   0.232771E+02
   0.400731E-04   0.203643E+08   0.203643E+08   0.269224E+08   0.269155E+08   0.000000E+00   0.203643E+08   0.203643E+08   0.203738E+08  -0.458051E+00   0.993733E+07   0.993733E+07   0.257033E+02
   0.442679E-04   0.203642E+08   0.203642E+08   0.268718E+08   0.268635E+08   0.000000E+00   0.203642E+08   0.203642E+08   0.203737E+08  -0.458048E+00   0.993727E+07   0.993727E+07   0.283798E+02
   0.489018E-04   0.203640E+08   0.203640E+08   0.268102E+08   0.268000E+08   0.000000E+00   0.203640E+08   0.203640E+08   0.203735E+08  -0.458043E+00   0.993720E+07   0.993719E+07   0.313315E+02
   0.540207E-04   0.203639E+08   0.203638E+08   0.267352E+08   0.267228E+08   0.000000E+00   0.203639E+08   0.203639E+08   0.203733E+08  -0.458038E+00   0.993711E+07   0.993711E+07   0.345857E+02
   0.596755E-04   0.203637E+08   0.203636E+08   0.266439E+08   0.266288E+08   0.000000E+00   0.203636E+08   0.203636E+08   0.203730E+08  -0.458032E+00   0.993701E+07   0.993700E+07   0.381717E+02
   0.659223E-04   0.203634E+08   0.203634E+08   0.265329E+08   0.265145E+08   0.000000E+00   0.203634E+08   0.203634E+08   0.203727E+08  -0.458025E+00   0.993688E+07   0.993687E+07   0.421212E+02
   0.728229E-04   0.203631E+08   0.203630E+08   0.263980E+08   0.263757E+08   0.000000E+00   0.203631E+08   0.203631E+08   0.203724E+08  -0.458015E+00   0.993672E+07   0.993671E+07   0.464681E+02
   0.804459E-04   0.203627E+08   0.203626E+08   0.262343E+08   0.262072E+08   0.000000E+00   0.203627E+08   0.203627E+08   0.203719E+08  -0.458004E+00   0.993652E+07   0.993651E+07   0.512486E+02
   0.888668E-04   0.203622E+08   0.203622E+08   0.260357E+08   0.260028E+08   0.000000E+00   0.203622E+08   0.203622E+08   0.203714E+08  -0.457990E+00   0.993629E+07   0.993627E+07   0.565006E+02
   0.981692E-04   0.203616E+08   0.203616E+08   0.257953E+08   0.257554E+08   0.000000E+00   0.203616E+08   0.203616E+08   0.203707E+08  -0.457974E+00   0.993600E+07   0.993598E+07   0.622637E+02
   0.108445E-03   0.203609E+08   0.203609E+08   0.255046E+08   0.254564E+08   0.000000E+00   0.203609E+08   0.203609E+08   0.203699E+08  -0.457953E+00   0.993565E+07   0.993563E+07   0.685781E+02
   0.119797E-03   0.203601E+08   0.203600E+08   0.251540E+08   0.250958E+08   0.000000E+00   0.203601E+08   0.203601E+08   0.203689E+08  -0.457929E+00   0.993523E+07   0.993520E+07   0.754841E+02
   0.132337E-03   0.203590E+08   0.203589E+08   0.247321E+08   0.246620E+08   0.000000E+00   0.203590E+08   0.203590E+08   0.203677E+08  -0.457899E+00   0.993471E+07   0.993467E+07   0.830202E+02
   0.146190E-03   0.203578E+08   0.203576E+08   0.242261E+08   0.241419E+08   0.000000E+00   0.203577E+08   0.203577E+08   0.203663E+08  -0.457862E+00   0.993407E+07   0.993404E+07   0.912215E+02
   0.161493E-03   0.203562E+08   0.203560E+08   0.236215E+08   0.235208E+08   0.000000E+00   0.203562E+08   0.203562E+08   0.203645E+08  -0.457818E+00   0.993330E+07   0.993326E+07   0.100117E+03
