#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.113326E+04   0.548408E-01   0.000000E+00   0.340474E+01   0.479912E-07   0.340569E-02  -0.163499E-04
     3   0.105361E+04   0.881449E-01   0.000000E+00   0.424095E+01   0.582377E-07   0.338045E-02  -0.198300E-04
     4   0.979953E+03   0.974752E-01   0.000000E+00   0.433418E+01   0.669448E-07   0.328548E-02  -0.197507E-04
     5   0.923309E+03   0.850081E-01   0.000000E+00   0.399361E+01   0.744595E-07   0.316509E-02  -0.171562E-04
     6   0.882238E+03   0.617157E-01   0.000000E+00   0.345495E+01   0.809759E-07   0.303794E-02  -0.130336E-04
     7   0.853664E+03   0.386368E-01   0.000000E+00   0.286424E+01   0.866754E-07   0.291275E-02  -0.830070E-05
     8   0.834205E+03   0.220741E-01   0.000000E+00   0.231302E+01   0.916881E-07   0.278889E-02  -0.371444E-05
     9   0.821793E+03   0.130800E-01   0.000000E+00   0.184589E+01   0.961223E-07   0.266638E-02   0.122714E-06
    10   0.814986E+03   0.950269E-02   0.000000E+00   0.148212E+01   0.100045E-06   0.254912E-02   0.279530E-05
    11   0.812203E+03   0.844024E-02   0.000000E+00   0.122805E+01   0.103547E-06   0.244212E-02   0.417363E-05
    12   0.813364E+03   0.789571E-02   0.000000E+00   0.108187E+01   0.106653E-06   0.234493E-02   0.442049E-05
    13   0.816682E+03   0.702420E-02   0.000000E+00   0.102269E+01   0.109408E-06   0.225580E-02   0.382635E-05
    14   0.821271E+03   0.603810E-02   0.000000E+00   0.102401E+01   0.111861E-06   0.217331E-02   0.267897E-05
    15   0.827419E+03   0.525347E-02   0.000000E+00   0.106288E+01   0.114043E-06   0.209584E-02   0.122524E-05
    16   0.835505E+03   0.489973E-02   0.000000E+00   0.111977E+01   0.115980E-06   0.202212E-02  -0.284250E-06
    17   0.845390E+03   0.497630E-02   0.000000E+00   0.118201E+01   0.117698E-06   0.195190E-02  -0.153104E-05
    18   0.856081E+03   0.523922E-02   0.000000E+00   0.124152E+01   0.119222E-06   0.188522E-02  -0.225521E-05
    19   0.868430E+03   0.554934E-02   0.000000E+00   0.129491E+01   0.120564E-06   0.182200E-02  -0.248436E-05
    20   0.880796E+03   0.587649E-02   0.000000E+00   0.133782E+01   0.121733E-06   0.176212E-02  -0.233043E-05
    21   0.893521E+03   0.625436E-02   0.000000E+00   0.137164E+01   0.122749E-06   0.170527E-02  -0.196426E-05
    22   0.906862E+03   0.680688E-02   0.000000E+00   0.139892E+01   0.123633E-06   0.165112E-02  -0.153668E-05
    23   0.920605E+03   0.759575E-02   0.000000E+00   0.142600E+01   0.124394E-06   0.159932E-02  -0.106678E-05
    24   0.934790E+03   0.862410E-02   0.000000E+00   0.145849E+01   0.125037E-06   0.154966E-02  -0.567479E-06
    25   0.949398E+03   0.989416E-02   0.000000E+00   0.149519E+01   0.125574E-06   0.150239E-02  -0.156886E-06
    26   0.964277E+03   0.113686E-01   0.000000E+00   0.153508E+01   0.126016E-06   0.145780E-02   0.441345E-07
    27   0.979634E+03   0.130169E-01   0.000000E+00   0.157731E+01   0.126371E-06   0.141579E-02   0.537520E-08
    28   0.995284E+03   0.148361E-01   0.000000E+00   0.162145E+01   0.126646E-06   0.137609E-02  -0.249826E-06
    29   0.101126E+04   0.168128E-01   0.000000E+00   0.166345E+01   0.126841E-06   0.133819E-02  -0.574258E-06
    30   0.102748E+04   0.189447E-01   0.000000E+00   0.169806E+01   0.126957E-06   0.130166E-02  -0.820922E-06
    31   0.104384E+04   0.212459E-01   0.000000E+00   0.172532E+01   0.127005E-06   0.126669E-02  -0.963968E-06
    32   0.106062E+04   0.237174E-01   0.000000E+00   0.174560E+01   0.126995E-06   0.123351E-02  -0.101822E-05
    33   0.107782E+04   0.263407E-01   0.000000E+00   0.175558E+01   0.126932E-06   0.120196E-02  -0.104061E-05
    34   0.109525E+04   0.291133E-01   0.000000E+00   0.175264E+01   0.126818E-06   0.117172E-02  -0.107744E-05
